10percentage,12percentage,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,CollegeState_Andhra Pradesh,CollegeState_Assam,CollegeState_Bihar,CollegeState_Chhattisgarh,CollegeState_Delhi,CollegeState_Goa,CollegeState_Gujarat,CollegeState_Haryana,CollegeState_Himachal Pradesh,CollegeState_Jammu and Kashmir,CollegeState_Jharkhand,CollegeState_Karnataka,CollegeState_Kerala,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Meghalaya,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Sikkim,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Union Territory,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Gender_f,Gender_m,CollegeTier_1,CollegeTier_2,Specialization_CE,Specialization_CS,Specialization_EC,Specialization_EL,Specialization_ME,Specialization_other,GraduationYear_0,GraduationYear_2007,GraduationYear_2009,GraduationYear_2010,GraduationYear_2011,GraduationYear_2012,GraduationYear_2013,GraduationYear_2014,GraduationYear_2015,GraduationYear_2016,GraduationYear_2017
51.2,74,67.8,525,485,560,0.744758354,565,0,438,0,0,0,0,-0.3027,1.0449,-0.2974,0.2727,0.8637,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66.46,62.81,61.51,430,340,370,0.842248322,515,0,469,0,0,0,0,1.5644,-0.1206,0.01,0.5262,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82.67,74.92,61.36,580,470,425,0.911395278,535,0,500,0,0,0,0,1.7081,1.0449,1.547,0.0192,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75,61.7,79,365,365,425,0.377551419,375,0,0,0,0,0,0,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61.4,62.8,69.98,375,505,435,0.3423149,365,0,0,0,0,0,0,-0.1082,0.6568,0.2366,-0.0552,0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69.4,63,61,375,465,265,0.023312168,0,166,0,0,0,260,0,-1.1901,0.1888,-1.5051,-1.34787,-0.7615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90.24,67.17,68.65,430,435,405,0.3423149,365,0,0,0,0,0,0,0.99,-0.2871,0.01,0.9066,0.0973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,65,75,510,525,560,0.960903087,595,0,0,0,0,0,0,0.1282,0.2124,-0.2974,-0.4879,0.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75.75,74.4,80,495,495,554,0.538386893,0,333,0,0,0,366,0,-2.1175,-0.5913,-0.344,0.7673,0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90.83,95.1,84.01,525,455,605,0.962217011,0,0,0,366,0,0,500,-0.7651,-0.4353,-1.6502,1.3255,-0.4455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,68.83,69.1,535,615,585,0.765673581,485,0,0,0,0,0,0,-0.7264,1.7488,0.3817,0.2973,0.5419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,52,68,545,375,565,0.704090412,465,0,0,0,0,0,0,-0.881,-1.5273,-0.344,0.5323,-0.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89.1,97.8,85.7,500,595,870,0.960603252,475,466,0,0,0,0,0,-0.4463,-0.2871,-1.2196,1.0333,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73.6,67.4,72,535,545,325,0.493596387,0,324,0,0,0,446,0,-0.159,-0.4536,0.7785,-0.3612,-1.0524,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,65,67.68,425,365,275,0.074546265,255,0,0,0,0,0,0,-0.1855,-0.2793,-1.0697,0.7086,-1.0774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,70,68,525,505,465,0.486747008,315,0,376,0,0,0,0,0.8463,0.0459,0.6248,-0.995,1.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,73,62,580,580,650,0.864685413,525,0,0,0,0,0,0,0.4155,0.2124,1.2396,-0.8682,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87.33,85.4,64,405,485,445,0.694479328,305,366,0,0,0,0,0,-0.881,-2.7754,1.1074,-0.1727,-0.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
83.1,87.1,68.75,465,545,545,0.670743151,455,0,0,0,0,0,0,-0.5719,-0.4353,0.164,-0.7603,-1.7093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86.4,85.4,77,640,530,430,0,0,0,0,0,0,0,0,-0.7335,-1.6191,-1.0659,1.9207,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,80,50,315,345,295,0.376059587,0,300,0,0,0,0,0,-0.5332,-0.4353,-0.1988,1.5018,-1.2354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,87.2,87.9,440,425,560,0.338786347,335,292,0,0,446,0,0,-0.4463,1.2114,1.3933,-0.3612,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,67,57.5,520,570,515,0.842248322,525,0,469,0,0,0,0,1.1336,0.0459,0.6248,-1.6289,0.2889,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88.34,71,90.44,525,505,485,0.0587928,0,200,0,0,0,0,0,1.2828,1.2028,-0.7068,-0.6428,0.5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68.4,69.4,76,455,570,620,0,465,0,315,0,0,0,0,0.8463,-0.2871,-0.9122,-0.8682,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91.67,74.2,63.8,675,500,545,0.824666401,365,400,0,0,0,0,0,1.2828,0.9688,0.4906,0.6498,0.5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77.4,88.1,65.61,580,595,720,0,0,0,0,0,0,0,0,-0.2632,1.5081,0.2113,-1.3255,-0.0844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87.3,94.2,79.51,435,435,495,0.124502074,545,233,0,0,0,446,0,1.1283,1.7488,2.1234,-0.9953,1.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,61,65,554,375,475,0.24545566,335,0,0,0,0,0,0,-1.2287,0.6568,-0.6343,-0.26087,-0.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75.2,78,73,405,510,430,0.356536488,325,0,346,0,0,0,0,0.2718,-0.2871,0.1637,-0.1076,-0.2859,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,61,75,370,410,320,0.488347977,405,0,0,0,0,0,0,-0.159,-0.2871,-0.9122,-0.6147,-0.6692,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,76,76,370,390,575,0.744758354,175,0,438,0,0,0,0,0.99,0.5454,1.0859,-0.3612,0.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48.8,48.8,72.5,430,385,295,0.911395278,515,0,500,0,0,0,0,0.99,0.3789,1.0859,0.653,0.4805,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75.38,72,68.75,325,495,565,0.376059587,0,300,0,0,0,0,0,0.0464,-2.1513,1.1074,0.0623,0.8183,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,71,65,615,534,415,0.942116551,575,0,0,0,0,0,0,-0.2628,1.2808,0.3817,-2.0529,-0.2875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55.52,60.05,61.95,495,455,385,0.538386893,355,333,0,0,0,0,0,0.8192,0.6568,0.2366,0.0623,0.3444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,79.6,68,350,520,450,0.783303537,295,388,0,0,0,0,0,-0.5899,0.5454,0.1637,1.1601,1.247,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,70,70,405,390,325,0.450876584,395,0,0,0,0,0,0,0.5591,-0.2871,1.3933,2.0475,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78.6,80,69.29,640,540,440,0.423951396,0,0,346,0,388,0,0,-0.0154,-0.9531,-1.3733,-0.3612,-1.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86.6,92,77.96,495,555,425,0.793580615,495,0,0,0,0,0,0,0.8192,0.8128,0.5269,-1.4653,0.1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,90,71.8,495,425,575,0.765673581,485,0,0,0,0,0,0,1.592,1.5928,0.8171,0.5323,0.0679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87.5,96.5,79.1,525,565,645,0.694479328,475,366,0,0,0,0,0,-0.2628,0.8518,-0.7068,-0.52527,-0.4455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71.05,69.07,58,425,465,355,0.538386893,0,333,0,0,0,0,0,-0.4173,-0.7473,-0.4891,0.4148,-0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,89,77.24,435,365,475,0.308400583,355,0,0,0,0,0,0,0.3941,0.9688,0.0914,0.973,-0.6035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91.4,82.3,89.3,485,535,735,0.694479328,0,366,0,0,0,0,0,-0.159,-0.2871,0.01,-0.3612,0.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71,61,66,580,505,380,0.622642916,395,0,407,0,0,0,0,1.5644,1.3779,1.0859,-1.8824,0.2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,81,76.7,455,530,440,0.622642916,455,0,407,0,0,0,0,1.7081,0.8784,1.7007,0.1459,0.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75.6,77,70.66,505,404,524,0.535862819,295,0,0,393,0,0,0,0.6646,1.7488,0.2366,0.5323,0.6603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
70,56.6,71.18,205,555,470,0.635978756,445,0,0,0,0,0,0,-1.5765,0.3448,-0.6343,-0.2609,-0.2875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,66.6,67,455,495,544,0,455,0,376,0,0,0,0,0.5591,-0.2871,0.1637,0.1459,0.2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,89.3,79,500,375,520,0.356536488,285,0,346,0,0,0,0,1.4208,1.7109,1.2396,0.1459,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84.2,86.3,75.27,430,545,645,0.978799293,625,0,561,0,0,0,0,-1.4517,-1.6191,-1.6807,-0.995,-2.5853,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87.8,85.4,69.3,555,615,715,0.694479328,0,366,0,0,0,340,0,0.6646,0.9688,0.9623,-1.1128,0.5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88.8,94.6,80.6,510,525,720,0.938399137,345,0,0,0,553,0,0,-0.7335,-1.4526,-0.2974,-0.4879,-0.8608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
84,83,74.5,725,465,555,0.600057182,435,0,0,0,0,0,0,-0.4173,0.7348,-0.0537,-0.52527,-0.4455,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90.4,65,80.3,615,620,750,0.229481755,355,266,0,0,0,0,0,0.2782,-0.4353,-0.1988,0.7086,-0.7615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
77.63,86.25,80.21,475,385,505,0.81941653,505,0,0,0,0,0,0,0.51,0.5008,0.3817,-2.0529,-0.2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,79.23,69,345,485,590,0.563267824,425,0,0,0,0,0,0,-0.4463,-2.2851,-0.6048,2.1743,-2.7595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,80,70,685,555,554,0.824666401,395,400,0,0,0,0,0,0.9737,1.7488,0.9623,-2.1704,0.1864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,63,62.9,395,365,315,0.116552565,0,0,0,280,0,0,0,0.2782,0.8128,-0.1988,1.06113,-0.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
82,79.6,64.8,485,555,605,0.414337426,0,0,0,366,0,0,0,0.7027,0.8784,0.4711,-1.5021,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
86,84,72,325,345,575,0.0587928,425,200,0,0,0,233,0,-0.2628,0.5008,0.3817,-0.2902,-0.4455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92.47,75.5,73.81,395,470,455,0.600057182,435,0,0,0,0,0,0,1.2772,0.5454,0.1637,-0.4879,-0.4776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,97,77.8,555,655,565,0.942116551,575,0,0,0,0,0,0,-0.5719,-0.3183,-0.9245,0.64983,-1.5513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86.8,84.75,80,510,520,590,0.837620726,445,0,0,0,500,0,0,0.1282,1.3779,2.008,0.1459,1.6302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93.44,86,79.95,745,545,500,0.88162007,415,420,0,0,0,0,0,0.8463,-0.1206,0.7785,-0.8682,0.0973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87.2,74,62.82,520,485,500,0.895776502,305,0,0,0,526,0,0,-1.0208,0.7119,0.7785,0.0192,0.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84.8,89.2,72,605,595,675,0.824666401,0,400,0,0,0,0,0,-1.3447,0.0328,-0.7794,2.1187,-0.9194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68.33,77.54,71.82,505,635,625,0.124502074,415,233,0,0,0,0,0,-0.7264,-0.7473,0.2366,-0.0552,0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67.2,60.8,71.02,450,535,680,0.735795709,475,0,0,0,0,0,0,0.4155,-0.4536,-0.1437,-0.995,-1.0524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83.4,90.4,86.6,485,585,650,0.824666401,0,400,0,0,0,0,0,0.1282,0.8784,-2.2954,-0.4879,-1.244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,82.2,72.4,450,510,575,0.622642916,505,0,407,0,0,0,0,0.8463,0.8784,1.7007,-1.1218,0.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,64,70,475,585,560,0.538386893,0,333,0,0,0,0,0,0.1282,0.5454,0.7785,-0.4879,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82.2,77,91.2,524,555,405,0.414337426,0,0,0,366,0,0,0,-0.7264,-0.6693,-0.8157,-0.05527,-0.4455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
79.16,77.4,62.4,505,635,525,0.765673581,485,0,0,0,0,0,0,-2.1175,0.1498,0.8171,-0.17277,-0.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,88,77.75,675,665,575,0.535862819,0,0,0,393,0,0,0,1.5644,1.2114,-0.6048,-0.3612,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
72,67,59.8,525,505,445,0.538386893,355,333,0,0,0,0,0,0.51,0.3448,1.1074,0.4148,0.1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
96,92,80,315,475,565,0.694479328,265,366,0,0,0,0,0,-1.3447,-0.7473,-1.5051,1.1199,-1.3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85.33,89.7,74.3,605,500,595,0.356536488,415,0,346,0,0,0,0,-1.1644,0.7119,0.7785,-1.7556,0.2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76.8,67.2,60.08,525,365,565,0.635978756,445,0,0,0,0,0,0,0.0464,0.1498,-0.1626,0.5323,-0.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
